,Ctyname,Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,geometry,long_lat,NEWNAME,deer_density,deer_row,deer_dist
10,Chilton County,Alabama,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0500000US01021,1.0,21.0,Chilton,County,692.854,"POLYGON ((-86.51734399999999 33.020566, -86.515959 32.929361, -86.457015 32.813899, -86.37497399999999 32.75358, -86.41333499999999 32.750591, -86.413116 32.707386, -86.714219 32.705694, -86.71338999999999 32.661732, -86.91759499999999 32.664169, -87.01765999999999 32.663269, -87.01776199999999 32.729532, -87.01915699999999 32.837034, -86.87611799999999 32.836264, -86.881182 33.049901, -86.881638 33.071861, -86.61000299999999 33.070003, -86.51734399999999 33.020566))","(-86.7197930321302, 32.85025257838064)",Chilton County,1,169,0
11,Choctaw County,Alabama,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01023,1.0,23.0,Choctaw,County,913.5,"POLYGON ((-88.43865 32.172806, -88.4317071490085 32.227661668757, -88.421453 32.30868, -87.930661 32.310574, -88.01914499999999 32.28524, -88.007077 32.185313, -88.07061499999999 32.0617, -88.07348999999999 31.990182, -88.121414 31.950256, -88.18038399999999 31.814546, -88.08828799999999 31.699303, -88.4644280962864 31.6979519388365, -88.47110599999999 31.850949, -88.47121399999999 31.851385, -88.4699595921049 31.8937592747514, -88.468879 31.930262, -88.46866 31.933173, -88.455039 32.039719, -88.454959 32.040576, -88.43871 32.172078, -88.43865 32.172806))","(-88.2639473076234, 32.022413729916934)",Choctaw County,35,182,0
12,Clarke County,Alabama,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01025,1.0,25.0,Clarke,County,1238.465,"POLYGON ((-87.944233 31.989872, -87.66776899999999 31.991355, -87.66748799999999 31.958459, -87.62011199999999 31.827123, -87.50093 31.829251, -87.516131 31.697824, -87.566841 31.697115, -87.56541299999999 31.553573, -87.60313699999999 31.409556, -87.665572 31.423166, -87.784796 31.324672, -87.765152 31.297346, -87.91363699999999 31.187356, -87.94658799999999 31.19293, -87.95961899999999 31.316206, -87.908068 31.323041, -87.906143 31.491752, -88.07223399999999 31.5945, -88.078711 31.669618, -88.080629 31.67785, -88.086946 31.686181, -88.08828799999999 31.699303, -88.18038399999999 31.814546, -88.121414 31.950256, -88.07348999999999 31.990182, -87.944233 31.989872))","(-87.83209564549809, 31.6798904109986)",Clarke County,35,188,0
13,Clay County,Alabama,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0500000US01027,1.0,27.0,Clay,County,603.961,"POLYGON ((-85.85189 33.498742, -85.887782 33.469427, -85.782735 33.469349, -85.765427 33.498593, -85.64348199999999 33.495885, -85.653654 33.106634, -85.97471499999999 33.105286, -86.00917 33.09026, -86.17437 33.104394, -86.17282999999999 33.195681, -86.12056699999999 33.194511, -86.11819799999999 33.29632, -85.980293 33.29419, -85.976525 33.38187, -85.923762 33.396206, -85.90490899999999 33.498655, -85.85189 33.498742))","(-85.86182353790684, 33.26819989491129)",Clay County,10,163,0
14,Cleburne County,Alabama,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0500000US01029,1.0,29.0,Cleburne,County,560.1,"POLYGON ((-85.33797446249291 33.6531111377034, -85.32249687023121 33.5741668103798, -85.314994 33.535898, -85.31409099999999 33.530218, -85.313999 33.529807, -85.304439 33.482884, -85.64348199999999 33.495885, -85.765427 33.498593, -85.782735 33.469349, -85.887782 33.469427, -85.85189 33.498742, -85.796852 33.541849, -85.796054 33.55622, -85.63857899999999 33.648413, -85.638049 33.773339, -85.532482 33.889152, -85.53009399999999 33.941423, -85.398837 33.964129, -85.386692911705 33.901697231185, -85.36184399999999 33.773951, -85.360491 33.767958, -85.33797446249291 33.6531111377034))","(-85.51760446808036, 33.66784376380554)",Cleburne County,10,155,0
15,Coffee County,Alabama,1,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0500000US01031,1.0,31.0,Coffee,County,678.972,"POLYGON ((-85.79140199999999 31.196349, -86.19347599999999 31.192213, -86.196365 31.425431, -86.193951 31.440072, -86.194784 31.529949, -86.14394999999999 31.537675, -86.145895 31.617741, -85.789142 31.617964, -85.79140199999999 31.196349))","(-85.98839456898332, 31.402058921110648)",Coffee County,35,195,0
16,Colbert County,Alabama,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01033,1.0,33.0,Colbert,County,592.619,"POLYGON ((-88.139988 34.581703, -88.139246 34.587795, -88.13871899999999 34.589215, -88.11840699999999 34.724292, -88.097888 34.892202, -87.97322199999999 34.88255, -87.83583299999999 34.741239, -87.52436299999999 34.832384, -87.42650999999999 34.800022, -87.416484 34.767544, -87.52966699999999 34.567081, -88.139988 34.581703))","(-87.8058896713537, 34.701644198277684)",Colbert County,10,139,0
17,Conecuh County,Alabama,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01035,1.0,35.0,Conecuh,County,850.156,"POLYGON ((-86.701554 31.523946, -86.66724499999999 31.369404, -86.700282 31.192217, -86.772519 31.202243, -86.76396099999999 31.261293, -87.42745499999999 31.260386, -87.16658099999999 31.519561, -87.13505099999999 31.642417, -87.052284 31.716761, -86.90589899999999 31.753035, -86.906769 31.632671, -86.83938599999999 31.525204, -86.701554 31.523946))","(-86.9900272801277, 31.43204504352982)",Conecuh County,35,192,0
18,Coosa County,Alabama,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0500000US01037,1.0,37.0,Coosa,County,650.926,"POLYGON ((-86.336776 32.767469, -86.33676799999999 32.753783, -86.37497399999999 32.75358, -86.457015 32.813899, -86.515959 32.929361, -86.51734399999999 33.020566, -86.491029 33.102944, -86.226271 33.104115, -86.17437 33.104394, -86.00917 33.09026, -86.007187 32.754984, -86.31948 32.753698, -86.336776 32.767469))","(-86.24996070274753, 32.9339057489659)",Coosa County,10,168,0
19,Covington County,Alabama,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0500000US01039,1.0,39.0,Covington,County,1030.456,"POLYGON ((-86.38864600043149 30.9941810207682, -86.38864699999999 30.994181, -86.391937 30.994172, -86.404912 30.994049, -86.45470399999999 30.993791, -86.458319 30.993998, -86.512834 30.9937, -86.519938 30.993245, -86.563436 30.995223, -86.56758599999999 30.995109, -86.664681 30.994534, -86.678383 30.994537, -86.68829356389391 30.9950294071558, -86.700282 31.192217, -86.66724499999999 31.369404, -86.701554 31.523946, -86.69021699999999 31.523693, -86.499213 31.525331, -86.39994 31.527128, -86.39853599999999 31.451325, -86.28015499999999 31.52851, -86.27703099999999 31.455602, -86.193951 31.440072, -86.196365 31.425431, -86.19347599999999 31.192213, -86.18724594432989 30.9939916817734, -86.289247 30.993798, -86.30459599999999 30.994029, -86.364907 30.994455, -86.36927 30.994477, -86.374545 30.994474, -86.38864600043149 30.9941810207682))","(-86.44704256055293, 31.24788590258293)",Covington County,50,196,0
